车名	最大马力Ps	排量mL	进气形式	气缸排列形式	气缸数个	最大扭矩Nm	变速箱类型	指导价	T_两步
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	35.88	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	37.38	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	37.98	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	37.38	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	37.98	cluster-1
现代(进口)- 格锐	286	3342	自然吸气	V	6	337	自动变速箱(AT)	43.38	cluster-1
现代(进口)- 格锐	286	3342	自然吸气	V	6	337	自动变速箱(AT)	44.88	cluster-1
现代(进口)- 格锐	286	3342	自然吸气	V	6	337	自动变速箱(AT)	45.48	cluster-1
英菲尼迪(进口)- 英菲尼迪QX5	351	3696	自然吸气	V	6	361	自动变速箱(AT)	60.48	cluster-1
保时捷- Macan	340	2997	双涡轮增压	V	6	460	双离合变速箱(DCT)	68.8	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	42.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	46.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	49.8	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	52.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	57.8	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	42.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	46.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	49.8	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	52.98	cluster-1
凯迪拉克(进口)- 凯迪拉克SRX	271	2997	自然吸气	V	6	302	自动变速箱(AT)	57.8	cluster-1
保时捷- Macan	400	3604	双涡轮增压	V	6	550	双离合变速箱(DCT)	98.8	cluster-1
奥迪(进口)- 奥迪Q5(进口)	272	2995	机械增压	V	6	400	自动变速箱(AT)	62.8	cluster-1
奥迪(进口)- 奥迪Q5(进口)	272	2995	机械增压	V	6	400	自动变速箱(AT)	65.8	cluster-1
奥迪(进口)- 奥迪SQ5	354	2995	机械增压	V	6	470	自动变速箱(AT)	69.8	cluster-1
双龙汽车- 雷斯特	220	3199	自然吸气	L	6	312	自动变速箱(AT)	38.68	cluster-1
讴歌- 讴歌MDX	292	3471	自然吸气	V	6	360	自动变速箱(AT)	73.9	cluster-1
讴歌- 讴歌MDX	292	3471	自然吸气	V	6	360	自动变速箱(AT)	79.5	cluster-1
福特(进口)- 锐界(进口)	288	3496	自然吸气	V	6	336	自动变速箱(AT)	42.98	cluster-1
东风日产- 楼兰	310	3498	自然吸气	V	6	327	无级变速箱(CVT)	36.58	cluster-1
东风日产- 楼兰	310	3498	自然吸气	V	6	327	无级变速箱(CVT)	48.88	cluster-1
长安福特- 锐界	329	2694	涡轮增压	V	6	475	手自一体变速箱(AT)	0	cluster-1
长安福特- 锐界	329	2694	涡轮增压	V	6	475	手自一体变速箱(AT)	43.68	cluster-1
一汽丰田- 兰德酷路泽	275	3956	自然吸气	V	6	385	自动变速箱(AT)	76.5	cluster-1
一汽丰田- 兰德酷路泽	275	3956	自然吸气	V	6	385	自动变速箱(AT)	79.9	cluster-1
丰田(进口)- 兰德酷路泽(进口	275	3956	自然吸气	V	6	385	自动变速箱(AT)	61.5	cluster-1
一汽丰田- 兰德酷路泽	310	4608	自然吸气	V	8	453	自动变速箱(AT)	101.9	cluster-1
一汽丰田- 兰德酷路泽	310	4608	自然吸气	V	8	453	自动变速箱(AT)	115.9	cluster-1
丰田(进口)- 兰德酷路泽(进口	310	4608	自然吸气	V	8	453	手自一体变速箱(AT)	101.9	cluster-1
奔驰-AMG- 奔驰G级AMG	544	5461	双涡轮增压	V	8	760	自动变速箱(AT)	229.8	cluster-1
奔驰(进口)- 奔驰G级	388	5461	自然吸气	V	8	530	自动变速箱(AT)	169.8	cluster-1
雷克萨斯- 雷克萨斯LX	367	5663	自然吸气	V	8	530	自动变速箱(AT)	174	cluster-1
福特(进口)- 探险者	291	3496	自然吸气	V	6	354	自动变速箱(AT)	48.98	cluster-1
福特(进口)- 探险者	291	3496	自然吸气	V	6	354	自动变速箱(AT)	53.98	cluster-1
马自达(进口)- 马自达CX-9	268	3726	自然吸气	V	6	360	自动变速箱(AT)	43.9	cluster-1
东风英菲尼迪- 英菲尼迪QX50	235	2496	自然吸气	V	6	253	手自一体变速箱(AT)	34.98	cluster-1
东风英菲尼迪- 英菲尼迪QX50	235	2496	自然吸气	V	6	253	手自一体变速箱(AT)	37.98	cluster-1
东风英菲尼迪- 英菲尼迪QX50	235	2496	自然吸气	V	6	253	手自一体变速箱(AT)	40.98	cluster-1
东风英菲尼迪- 英菲尼迪QX50	235	2496	自然吸气	V	6	253	手自一体变速箱(AT)	44.98	cluster-1
路虎(进口)- 第四代发现	249	2993	双涡轮增压	V	6	600	自动变速箱(AT)	88.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	82.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	92.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	102.8	cluster-1
路虎(进口)- 第四代发现	249	2993	双涡轮增压	V	6	600	自动变速箱(AT)	88.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	82.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	92.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	101.8	cluster-1
路虎(进口)- 第四代发现	340	2995	机械增压	V	6	450	自动变速箱(AT)	105.8	cluster-1
英菲尼迪(进口)- 英菲尼迪QX7	351	3696	自然吸气	V	6	363	自动变速箱(AT)	77.8	cluster-1
英菲尼迪(进口)- 英菲尼迪QX7	351	3696	自然吸气	V	6	363	自动变速箱(AT)	80.8	cluster-1
英菲尼迪(进口)- 英菲尼迪QX7	431	5026	自然吸气	V	8	500	自动变速箱(AT)	116.8	cluster-1
菲亚特(进口)- 菲跃	280	3604	自然吸气	V	6	342	自动变速箱(AT)	37.58	cluster-1
道奇(进口)- 酷威	280	3604	自然吸气	V	6	342	自动变速箱(AT)	37.29	cluster-1
大众(进口)- 途锐	240	2967	涡轮增压	V	6	550	自动变速箱(AT)	69.5	cluster-1
大众(进口)- 途锐	240	2967	涡轮增压	V	6	550	自动变速箱(AT)	76	cluster-1
大众(进口)- 途锐	240	2967	涡轮增压	V	6	550	自动变速箱(AT)	83.5	cluster-1
大众(进口)- 途锐	240	2967	涡轮增压	V	6	550	自动变速箱(AT)	88.8	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	72	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	80.8	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	79	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	82.5	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	90	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	89	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	92.5	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	91.56	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	91.6	cluster-1
大众(进口)- 途锐	290	2995	机械增压	V	6	420	自动变速箱(AT)	96.8	cluster-1
大众(进口)- 途锐	333	2995	机械增压	V	6	440	自动变速箱(AT)	110.5	cluster-1
大众(进口)- 途锐	280	3597	自然吸气	V	6	360	自动变速箱(AT)	91.65	cluster-1
大众(进口)- 途锐	280	3597	自然吸气	V	6	360	自动变速箱(AT)	96.85	cluster-1
大众(进口)- 途锐	360	4163	自然吸气	V	8	445	自动变速箱(AT)	136.48	cluster-1
保时捷- 卡宴	333	2995	机械增压	V	6	440	自动变速箱(AT)	97.2	cluster-1
保时捷- 卡宴	333	2995	机械增压	V	6	440	自动变速箱(AT)	114.8	cluster-1
保时捷- 卡宴	420	3604	双涡轮增压	V	6	550	自动变速箱(AT)	136.9	cluster-1
保时捷- 卡宴	441	3604	双涡轮增压	V	6	600	自动变速箱(AT)	158.6	cluster-1
起亚(进口)- 霸锐	275	3778	自然吸气	V	6	362	自动变速箱(AT)	39.8	cluster-1
起亚(进口)- 霸锐	275	3778	自然吸气	V	6	362	自动变速箱(AT)	41.68	cluster-1
保时捷- 卡宴	520	4806	双涡轮增压	V	8	750	自动变速箱(AT)	221.4	cluster-1
保时捷- 卡宴	570	4806	双涡轮增压	V	8	800	自动变速箱(AT)	283.9	cluster-1
英菲尼迪(进口)- 英菲尼迪QX6	277	3498	自然吸气	V	6	334	无级变速箱(CVT)	61.8	cluster-1
英菲尼迪(进口)- 英菲尼迪QX6	277	3498	自然吸气	V	6	334	无级变速箱(CVT)	71.8	cluster-1
SRT- 大切诺基 SRT	468	6417	自然吸气	V	8	624	自动变速箱(AT)	120.49	cluster-1
奔驰(进口)- 奔驰M级	272	2996	双涡轮增压	V	6	450	自动变速箱(AT)	80.8	cluster-1
奔驰(进口)- 奔驰M级	258	2987	涡轮增压	V	6	620	自动变速箱(AT)	84.8	cluster-1
奔驰(进口)- 奔驰M级	333	2996	双涡轮增压	V	6	480	自动变速箱(AT)	90.8	cluster-1
奔驰(进口)- 奔驰M级	333	2996	双涡轮增压	V	6	480	自动变速箱(AT)	99.8	cluster-1
Jeep(进口)- 大切诺基(进口)	234	2985	自然吸气	V	6	285	自动变速箱(AT)	57.99	cluster-1
Jeep(进口)- 大切诺基(进口)	234	2985	自然吸气	V	6	285	自动变速箱(AT)	68.99	cluster-1
Jeep(进口)- 大切诺基(进口)	243	2987	涡轮增压	V	6	570	自动变速箱(AT)	59.99	cluster-1
Jeep(进口)- 大切诺基(进口)	234	2985	自然吸气	V	6	285	自动变速箱(AT)	0	cluster-1
巴博斯- 巴博斯 M级	306	3498	自然吸气	V	6	370	自动变速箱(AT)	125.8	cluster-1
Jeep(进口)- 大切诺基(进口)	286	3604	自然吸气	V	6	347	自动变速箱(AT)	67.59	cluster-1
Jeep(进口)- 大切诺基(进口)	286	3604	自然吸气	V	6	347	自动变速箱(AT)	75.99	cluster-1
Jeep(进口)- 大切诺基(进口)	286	3604	自然吸气	V	6	347	自动变速箱(AT)	0	cluster-1
奔驰-AMG- 奔驰M级AMG	525	5461	双涡轮增压	V	8	700	自动变速箱(AT)	189.8	cluster-1
Jeep(进口)- 大切诺基(进口)	352	5654	自然吸气	V	8	520	自动变速箱(AT)	85.49	cluster-1
Jeep(进口)- 大切诺基(进口)	352	5654	自然吸气	V	8	520	自动变速箱(AT)	0	cluster-1
路虎(进口)- 揽胜	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	149.8	cluster-1
路虎(进口)- 揽胜	340	2995	机械增压	V	6	450	自动变速箱(AT)	155.8	cluster-1
路虎(进口)- 揽胜	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	149.8	cluster-1
路虎(进口)- 揽胜	340	2995	机械增压	V	6	450	自动变速箱(AT)	155.8	cluster-1
路虎(进口)- 揽胜	340	2995	机械增压	V	6	450	自动变速箱(AT)	162	cluster-1
路虎(进口)- 揽胜运动版	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	98.8	cluster-1
路虎(进口)- 揽胜运动版	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	103.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	104.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	109.8	cluster-1
路虎(进口)- 揽胜运动版	292	2993	涡轮增压	L	6	600	自动变速箱(AT)	119.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	113.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	104.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	109.8	cluster-1
路虎(进口)- 揽胜运动版	340	2995	机械增压	V	6	450	自动变速箱(AT)	113.8	cluster-1
路虎(进口)- 揽胜运动版	510	5000	机械增压	V	8	625	自动变速箱(AT)	181.8	cluster-1
路虎(进口)- 揽胜运动版	510	5000	机械增压	V	8	625	自动变速箱(AT)	181.8	cluster-1
宝马(进口)- 宝马X5	258	2993	涡轮增压	L	6	560	自动变速箱(AT)	87.7	cluster-1
宝马(进口)- 宝马X5	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	85.28	cluster-1
宝马(进口)- 宝马X5	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	93.8	cluster-1
宝马(进口)- 宝马X5	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	98.5	cluster-1
宝马(进口)- 宝马X5	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	111.5	cluster-1
宝马(进口)- 宝马X6	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	93.8	cluster-1
宝马(进口)- 宝马X6	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	99.8	cluster-1
宝马(进口)- 宝马X6	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	117.3	cluster-1
宝马(进口)- 宝马X6	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	98.36	cluster-1
宝马(进口)- 宝马X6	306	2979	涡轮增压	L	6	400	自动变速箱(AT)	106.3	cluster-1
宝马(进口)- 宝马X6	320	2979	涡轮增压	L	6	450	自动变速箱(AT)	120.8	cluster-1
宝马(进口)- 宝马X5	408	3982	双涡轮增压	V	8	600	自动变速箱(AT)	177.3	cluster-1
宝马(进口)- 宝马X6	408	3982	双涡轮增压	V	8	600	自动变速箱(AT)	189.9	cluster-1
宝马(进口)- 宝马X6	408	4395	双涡轮增压	V	8	600	自动变速箱(AT)	206.2	cluster-1
宝马(进口)- 宝马X6	408	4395	双涡轮增压	V	8	600	自动变速箱(AT)	216.8	cluster-1
宝马M- 宝马X6 M	555	4395	双涡轮增压	V	8	680	自动变速箱(AT)	223.8	cluster-1
宝马M- 宝马X5 M	555	4395	双涡轮增压	V	8	680	自动变速箱(AT)	210.7	cluster-1
宝马M- 宝马X5 M	555	4395	双涡轮增压	V	8	680	自动变速箱(AT)	201.8	cluster-1
Jeep(进口)- 牧马人	234	2985	自然吸气	V	6	285	自动变速箱(AT)	43.99	cluster-1
Jeep(进口)- 牧马人	234	2985	自然吸气	V	6	285	自动变速箱(AT)	43.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	53.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	46.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	53.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	59.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	56.88	cluster-1
沃尔沃(进口)- 沃尔沃XC90	320	1969	双涡轮增压	L	4	400	自动变速箱(AT)	105.8	cluster-1
林肯- 林肯MKT	355	3490	双涡轮增压	V	6	475	自动变速箱(AT)	119.8	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	82.8	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	89.7	cluster-1
奥迪(进口)- 奥迪Q7	333	2995	机械增压	V	6	440	自动变速箱(AT)	93.98	cluster-1
奥迪(进口)- 奥迪Q7	333	2995	机械增压	V	6	440	自动变速箱(AT)	123.98	cluster-1
奥迪(进口)- 奥迪Q7	245	2967	涡轮增压	V	6	550	自动变速箱(AT)	87.48	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	82.7	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	89.78	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	97.18	cluster-1
奥迪(进口)- 奥迪Q7	272	2995	机械增压	V	6	400	自动变速箱(AT)	111.2	cluster-1
奥迪(进口)- 奥迪Q7	333	2995	机械增压	V	6	440	自动变速箱(AT)	111.18	cluster-1
奥迪(进口)- 奥迪Q7	333	2995	机械增压	V	6	440	自动变速箱(AT)	118.38	cluster-1
奥迪(进口)- 奥迪Q7	333	2995	机械增压	V	6	440	自动变速箱(AT)	133.9	cluster-1
奥迪(进口)- 奥迪Q7	245	2967	涡轮增压	V	6	550	自动变速箱(AT)	90.28	cluster-1
奥迪(进口)- 奥迪Q7	245	2967	涡轮增压	V	6	550	自动变速箱(AT)	90.28	cluster-1
奥迪(进口)- 奥迪Q7	245	2967	涡轮增压	V	6	550	自动变速箱(AT)	105.18	cluster-1
别克(进口)- 昂科雷	292	3564	自然吸气	V	6	366	自动变速箱(AT)	50.9	cluster-1
别克(进口)- 昂科雷	292	3564	自然吸气	V	6	366	自动变速箱(AT)	64.9	cluster-1
林肯- 领航员	315	5408	自然吸气	V	8	495	自动变速箱(AT)	135	cluster-1
奔驰(进口)- 奔驰GL级	258	2987	涡轮增压	V	6	620	自动变速箱(AT)	103.8	cluster-1
奔驰(进口)- 奔驰GL级	333	2996	双涡轮增压	V	6	480	自动变速箱(AT)	109.8	cluster-1
奔驰(进口)- 奔驰GL级	333	2996	双涡轮增压	V	6	480	自动变速箱(AT)	129.8	cluster-1
奔驰(进口)- 奔驰GL级	421	3996	双涡轮增压	V	8	600	自动变速箱(AT)	159.8	cluster-1
奔驰(进口)- 奔驰GL级	435	4663	双涡轮增压	V	8	700	自动变速箱(AT)	159.8	cluster-1
奔驰-AMG- 奔驰GL级AMG	558	5461	双涡轮增压	V	8	760	自动变速箱(AT)	198	cluster-1
日产(进口)- 途乐	398	5552	自然吸气	V	8	555	自动变速箱(AT)	119.8	cluster-1
丰田(进口)- 红杉	386	5663	自然吸气	V	8	544	自动变速箱(AT)	110	cluster-1
路虎(进口)- 揽胜	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	170.8	cluster-1
路虎(进口)- 揽胜	292	2993	涡轮增压	L	6	600	自动变速箱(AT)	186.8	cluster-1
路虎(进口)- 揽胜	340	2995	机械增压	V	6	450	自动变速箱(AT)	176.8	cluster-1
路虎(进口)- 揽胜	258	2993	双涡轮增压	V	6	600	自动变速箱(AT)	170.8	cluster-1
路虎(进口)- 揽胜	340	2995	机械增压	V	6	450	自动变速箱(AT)	176.8	cluster-1
路虎(进口)- 揽胜	510	5000	机械增压	V	8	625	自动变速箱(AT)	264.8	cluster-1
路虎(进口)- 揽胜	510	5000	机械增压	V	8	625	自动变速箱(AT)	329.8	cluster-1
路虎(进口)- 揽胜	510	5000	机械增压	V	8	625	自动变速箱(AT)	264.8	cluster-1
路虎(进口)- 揽胜	510	5000	机械增压	V	8	625	自动变速箱(AT)	329.8	cluster-1
凯迪拉克(进口)- 凯雷德ESCAL	409	6162	自然吸气	V	8	565	自动变速箱(AT)	168.8	cluster-1
陆风汽车- 陆风X9	122	1997	涡轮增压	L	4	280	手动变速箱(MT)	14.58	cluster-2
陆风汽车- 陆风X9	122	1997	涡轮增压	L	4	280	手动变速箱(MT)	16.58	cluster-2
